location,age_range,gender,language,audience_count,wb_population_estimate,wb_year,wb_total_population,wb_male_percentage,wb_female_percentage,linkedin_penetration_rate,audience_per_million_population
Germany,35-54,male,Spanish,3200,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.04,38.0
Germany,35-54,male,Italian,1700,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.02,20.0
Germany,35-54,male,English,740000,8740263,2023,83901923,49.3751808952691,50.6248191047309,8.47,8820.0
Germany,35-54,male,German,570000,8740263,2023,83901923,49.3751808952691,50.6248191047309,6.52,6794.0
Germany,35-54,female,French,1700,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.02,20.0
Germany,35-54,female,Spanish,2900,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.03,35.0
Germany,35-54,female,Italian,1400,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.02,17.0
Germany,35-54,female,English,400000,8961471,2023,83901923,49.3751808952691,50.6248191047309,4.46,4767.0
Germany,35-54,female,German,300000,8961471,2023,83901923,49.3751808952691,50.6248191047309,3.35,3576.0
Germany,55+,All genders,French,610,19121285,2023,83901923,49.3751808952691,50.6248191047309,0.0,7.0
Germany,55+,All genders,Spanish,550,19121285,2023,83901923,49.3751808952691,50.6248191047309,0.0,7.0
Germany,55+,All genders,Italian,380,19121285,2023,83901923,49.3751808952691,50.6248191047309,0.0,5.0
Germany,55+,All genders,English,280000,19121285,2023,83901923,49.3751808952691,50.6248191047309,1.46,3337.0
Germany,55+,All genders,German,230000,19121285,2023,83901923,49.3751808952691,50.6248191047309,1.2,2741.0
Germany,55+,male,French,390,9441169,2023,83901923,49.3751808952691,50.6248191047309,0.0,5.0
Germany,55+,male,Spanish,330,9441169,2023,83901923,49.3751808952691,50.6248191047309,0.0,4.0
Germany,55+,male,Italian,0,9441169,2023,83901923,49.3751808952691,50.6248191047309,0.0,0.0
Germany,55+,male,English,200000,9441169,2023,83901923,49.3751808952691,50.6248191047309,2.12,2384.0
Germany,55+,male,German,170000,9441169,2023,83901923,49.3751808952691,50.6248191047309,1.8,2026.0
Germany,55+,female,French,0,9680116,2023,83901923,49.3751808952691,50.6248191047309,0.0,0.0
Germany,55+,female,Spanish,0,9680116,2023,83901923,49.3751808952691,50.6248191047309,0.0,0.0
Germany,55+,female,Italian,0,9680116,2023,83901923,49.3751808952691,50.6248191047309,0.0,0.0
Germany,55+,female,English,66000,9680116,2023,83901923,49.3751808952691,50.6248191047309,0.68,787.0
Germany,55+,female,German,56000,9680116,2023,83901923,49.3751808952691,50.6248191047309,0.58,667.0
