location,age_range,gender,language,audience_count,success,error,timestamp
Italy,25-34,male,English,770000,True,,2025-09-10T15:10:00.132348
Italy,25-34,female,Italian,730000,True,,2025-09-10T15:10:00.551174
Italy,25-34,female,French,2000,True,,2025-09-10T15:10:01.006155
Italy,25-34,female,Spanish,4600,True,,2025-09-10T15:10:01.589515
Italy,25-34,female,English,800000,True,,2025-09-10T15:10:02.030435
Italy,35-54,All,Italian,1300000,True,,2025-09-10T15:10:02.491333
Italy,35-54,All,French,2700,True,,2025-09-10T15:10:02.925313
Italy,35-54,All,Spanish,4700,True,,2025-09-10T15:10:03.340801
Italy,35-54,All,English,1400000,True,,2025-09-10T15:10:03.815959
Italy,35-54,male,Italian,650000,True,,2025-09-10T15:10:04.251436
Italy,35-54,male,French,1200,True,,2025-09-10T15:10:04.754276
Italy,35-54,male,Spanish,2200,True,,2025-09-10T15:10:05.184069
Italy,35-54,male,English,750000,True,,2025-09-10T15:10:05.666686
Italy,35-54,female,Italian,580000,True,,2025-09-10T15:10:06.121423
Italy,35-54,female,French,1100,True,,2025-09-10T15:10:06.589990
Italy,35-54,female,Spanish,2300,True,,2025-09-10T15:10:07.097914
Italy,35-54,female,English,660000,True,,2025-09-10T15:10:07.518319
Italy,55+,All,Italian,350000,True,,2025-09-10T15:10:07.939871
Italy,55+,All,French,570,True,,2025-09-10T15:10:08.399809
Italy,55+,All,Spanish,560,True,,2025-09-10T15:10:08.833273
Italy,55+,All,English,400000,True,,2025-09-10T15:10:09.345456
Italy,55+,male,Italian,220000,True,,2025-09-10T15:10:09.863114
Italy,55+,male,French,360,True,,2025-09-10T15:10:10.391220
Italy,55+,male,Spanish,340,True,,2025-09-10T15:10:10.854677
Italy,55+,male,English,260000,True,,2025-09-10T15:10:11.307976
Italy,55+,female,Italian,110000,True,,2025-09-10T15:10:11.852994
Italy,55+,female,French,0,True,,2025-09-10T15:10:12.306124
Italy,55+,female,Spanish,0,True,,2025-09-10T15:10:12.748100
Italy,55+,female,English,120000,True,,2025-09-10T15:10:13.160443
Denmark,All,All,Italian,5600,True,,2025-09-10T15:10:13.585183
Denmark,All,All,French,7800,True,,2025-09-10T15:10:14.002241
Denmark,All,All,Spanish,15000,True,,2025-09-10T15:10:14.414145
Denmark,All,All,English,3800000,True,,2025-09-10T15:10:14.849058
Denmark,All,male,Italian,700,True,,2025-09-10T15:10:15.293177
Denmark,All,male,French,620,True,,2025-09-10T15:10:15.721624
Denmark,All,male,Spanish,1300,True,,2025-09-10T15:10:16.149326
Denmark,All,male,English,560000,True,,2025-09-10T15:10:16.621643
Denmark,All,female,Italian,640,True,,2025-09-10T15:10:17.036150
Denmark,All,female,French,540,True,,2025-09-10T15:10:17.450667
Denmark,All,female,Spanish,1200,True,,2025-09-10T15:10:17.837505
Denmark,All,female,English,460000,True,,2025-09-10T15:10:18.276952
Denmark,18-24,All,Italian,440,True,,2025-09-10T15:10:18.735098
Denmark,18-24,All,French,410,True,,2025-09-10T15:10:19.134395
Denmark,18-24,All,Spanish,800,True,,2025-09-10T15:10:19.585665
Denmark,18-24,All,English,240000,True,,2025-09-10T15:10:20.054950
Denmark,18-24,male,Italian,0,True,,2025-09-10T15:10:20.464894
Denmark,18-24,male,French,0,True,,2025-09-10T15:10:20.932592
Denmark,18-24,male,Spanish,370,True,,2025-09-10T15:10:21.363352
Denmark,18-24,male,English,120000,True,,2025-09-10T15:10:21.768780
Denmark,18-24,female,Italian,0,True,,2025-09-10T15:10:22.201677
Denmark,18-24,female,French,0,True,,2025-09-10T15:10:22.609000
Denmark,18-24,female,Spanish,360,True,,2025-09-10T15:10:23.034230
Denmark,18-24,female,English,96000,True,,2025-09-10T15:10:23.444282
Denmark,25-34,All,Italian,620,True,,2025-09-10T15:10:23.927042
Denmark,25-34,All,French,540,True,,2025-09-10T15:10:24.334962
Denmark,25-34,All,Spanish,1200,True,,2025-09-10T15:10:24.773981
Denmark,25-34,All,English,340000,True,,2025-09-10T15:10:25.218396
Denmark,25-34,male,Italian,300,True,,2025-09-10T15:10:25.704079
Denmark,25-34,male,French,0,True,,2025-09-10T15:10:26.130083
Denmark,25-34,male,Spanish,560,True,,2025-09-10T15:10:26.574115
Denmark,25-34,male,English,170000,True,,2025-09-10T15:10:26.986409
Denmark,25-34,female,Italian,0,True,,2025-09-10T15:10:27.450451
Denmark,25-34,female,French,0,True,,2025-09-10T15:10:27.890581
Denmark,25-34,female,Spanish,550,True,,2025-09-10T15:10:28.500865
Denmark,25-34,female,English,140000,True,,2025-09-10T15:10:29.001548
Denmark,35-54,All,Italian,0,True,,2025-09-10T15:10:29.481635
Denmark,35-54,All,French,320,True,,2025-09-10T15:10:29.962462
Denmark,35-54,All,Spanish,520,True,,2025-09-10T15:10:30.438000
Denmark,35-54,All,English,380000,True,,2025-09-10T15:10:30.921909
Denmark,35-54,male,Italian,0,True,,2025-09-10T15:10:31.438786
Denmark,35-54,male,French,0,True,,2025-09-10T15:10:32.150913
Denmark,35-54,male,Spanish,0,True,,2025-09-10T15:10:32.570287
Denmark,35-54,male,English,190000,True,,2025-09-10T15:10:32.991693
Denmark,35-54,female,Italian,0,True,,2025-09-10T15:10:33.456592
Denmark,35-54,female,French,0,True,,2025-09-10T15:10:33.862510
Denmark,35-54,female,Spanish,0,True,,2025-09-10T15:10:34.291767
Denmark,35-54,female,English,160000,True,,2025-09-10T15:10:34.702029
Denmark,55+,All,Italian,0,True,,2025-09-10T15:10:35.147669
Denmark,55+,All,French,0,True,,2025-09-10T15:10:35.583390
Denmark,55+,All,Spanish,0,True,,2025-09-10T15:10:35.998483
Denmark,55+,All,English,140000,True,,2025-09-10T15:10:36.465146
Denmark,55+,male,Italian,0,True,,2025-09-10T15:10:36.906122
Denmark,55+,male,French,0,True,,2025-09-10T15:10:37.312237
Denmark,55+,male,Spanish,0,True,,2025-09-10T15:10:37.716283
Denmark,55+,male,English,83000,True,,2025-09-10T15:10:38.134825
Denmark,55+,female,Italian,0,True,,2025-09-10T15:10:38.555637
Denmark,55+,female,French,0,True,,2025-09-10T15:10:39.003056
Denmark,55+,female,Spanish,0,True,,2025-09-10T15:10:39.419193
Denmark,55+,female,English,51000,True,,2025-09-10T15:10:39.915298
